dailyData: [
    { date: '01.10', fullDate: new Date('2025-10-01'), day: 'Ср', orders: 6, revenue: 91278, cost: 58278, advertising: 3505, commissions: 7302, tax: 3651, delivery: 1369, profit: 17173 },
    { date: '02.10', fullDate: new Date('2025-10-02'), day: 'Чт', orders: 10, revenue: 132060, cost: 76275, advertising: 5831, commissions: 10564, tax: 5282, delivery: 1980, profit: 32128 },
    { date: '03.10', fullDate: new Date('2025-10-03'), day: 'Пт', orders: 5, revenue: 67450, cost: 38207, advertising: 2240, commissions: 5396, tax: 2698, delivery: 1011, profit: 17898 },
    { date: '04.10', fullDate: new Date('2025-10-04'), day: 'Сб', orders: 6, revenue: 85620, cost: 51473, advertising: 2777, commissions: 6849, tax: 3424, delivery: 1284, profit: 19813 },
    { date: '05.10', fullDate: new Date('2025-10-05'), day: 'Вс', orders: 4, revenue: 49920, cost: 31103, advertising: 1514, commissions: 3993, tax: 1996, delivery: 748, profit: 10566 },
    { date: '06.10', fullDate: new Date('2025-10-06'), day: 'Пн', orders: 9, revenue: 147069, cost: 88130, advertising: 4578, commissions: 11765, tax: 5882, delivery: 2206, profit: 34508 },
    { date: '07.10', fullDate: new Date('2025-10-07'), day: 'Вт', orders: 8, revenue: 115664, cost: 72093, advertising: 4472, commissions: 9253, tax: 4626, delivery: 1734, profit: 23486 },
    { date: '08.10', fullDate: new Date('2025-10-08'), day: 'Ср', orders: 5, revenue: 65565, cost: 41231, advertising: 2588, commissions: 5245, tax: 2622, delivery: 983, profit: 12896 },
    { date: '09.10', fullDate: new Date('2025-10-09'), day: 'Чт', orders: 9, revenue: 152496, cost: 93974, advertising: 8329, commissions: 12199, tax: 6099, delivery: 2287, profit: 29608 },
    { date: '10.10', fullDate: new Date('2025-10-10'), day: 'Пт', orders: 5, revenue: 76785, cost: 46470, advertising: 3406, commissions: 6142, tax: 3071, delivery: 1151, profit: 16545 },
    { date: '11.10', fullDate: new Date('2025-10-11'), day: 'Сб', orders: 3, revenue: 45975, cost: 28189, advertising: 2249, commissions: 3678, tax: 1839, delivery: 689, profit: 9331 },
    { date: '12.10', fullDate: new Date('2025-10-12'), day: 'Вс', orders: 5, revenue: 67760, cost: 43751, advertising: 3117, commissions: 5420, tax: 2710, delivery: 1016, profit: 11746 },
    { date: '13.10', fullDate: new Date('2025-10-13'), day: 'Пн', orders: 5, revenue: 66310, cost: 41138, advertising: 3737, commissions: 5304, tax: 2652, delivery: 994, profit: 12485 },
    { date: '14.10', fullDate: new Date('2025-10-14'), day: 'Вт', orders: 5, revenue: 70570, cost: 38820, advertising: 2361, commissions: 5645, tax: 2822, delivery: 1058, profit: 19864 },
    { date: '15.10', fullDate: new Date('2025-10-15'), day: 'Ср', orders: 7, revenue: 113099, cost: 67726, advertising: 3890, commissions: 9047, tax: 4523, delivery: 1696, profit: 26217 },
    { date: '16.10', fullDate: new Date('2025-10-16'), day: 'Чт', orders: 7, revenue: 103250, cost: 61418, advertising: 4844, commissions: 8260, tax: 4130, delivery: 1548, profit: 23050 },
    { date: '17.10', fullDate: new Date('2025-10-17'), day: 'Пт', orders: 6, revenue: 78384, cost: 45095, advertising: 4370, commissions: 6270, tax: 3135, delivery: 1175, profit: 18339 },
    { date: '18.10', fullDate: new Date('2025-10-18'), day: 'Сб', orders: 4, revenue: 63096, cost: 35166, advertising: 2737, commissions: 5047, tax: 2523, delivery: 946, profit: 16677 },
    { date: '19.10', fullDate: new Date('2025-10-19'), day: 'Вс', orders: 4, revenue: 64592, cost: 38317, advertising: 3512, commissions: 5167, tax: 2583, delivery: 968, profit: 14045 },
    { date: '20.10', fullDate: new Date('2025-10-20'), day: 'Пн', orders: 6, revenue: 74808, cost: 46152, advertising: 4027, commissions: 5984, tax: 2992, delivery: 1122, profit: 14531 },
    { date: '21.10', fullDate: new Date('2025-10-21'), day: 'Вт', orders: 5, revenue: 75855, cost: 47744, advertising: 3459, commissions: 6068, tax: 3034, delivery: 1137, profit: 14413 },
    { date: '22.10', fullDate: new Date('2025-10-22'), day: 'Ср', orders: 5, revenue: 84115, cost: 53861, advertising: 4119, commissions: 6729, tax: 3364, delivery: 1261, profit: 14781 },
    { date: '23.10', fullDate: new Date('2025-10-23'), day: 'Чт', orders: 5, revenue: 65925, cost: 39233, advertising: 3635, commissions: 5274, tax: 2637, delivery: 988, profit: 14158 },
    { date: '24.10', fullDate: new Date('2025-10-24'), day: 'Пт', orders: 8, revenue: 133448, cost: 75156, advertising: 4996, commissions: 10675, tax: 5337, delivery: 2001, profit: 35283 },
